상호명,도로명주소,경도,위도
아리카페,서울특별시 성북구 안암로 145,127.0316913,37.58869802
할머니다락방,서울특별시 성북구 서경로 81,127.0143723,37.61047835
아워레스트,서울특별시 성북구 삼선교로16길 16-3,127.0103145,37.58744043
에단스개러지,서울특별시 성북구 동소문로13가길 73,127.0092846,37.59041379
오영,서울특별시 성북구 동소문로26가길 39,127.0212199,37.59495325
롤더다이스,서울특별시 성북구 고려대로 27,127.0223384,37.58642065
어바웃랩,서울특별시 성북구 장월로1마길 5,127.0426831,37.60461507
성북동테이블,서울특별시 성북구 성북로8길 11,127.0043932,37.59114388
아임빈,서울특별시 성북구 개운사길 57-3,127.0290193,37.5888789
369마을사회적협동조합카페마실,서울특별시 성북구 삼선교로4가길 13-1,127.0059554,37.58701727
이디야,서울특별시 성북구 보문로 111,127.019349,37.58494355
공차길음뉴타운점,서울특별시 성북구 길음로 33,127.0220155,37.6050442
김.Coffee,서울특별시 성북구 아리랑로4가길 8-8,127.0173361,37.59550349
달달디저트카페,서울특별시 성북구 보문로36길 28,127.0155234,37.5907465
밀월,서울특별시 성북구 동소문로13가길 71,127.0094544,37.59051289
카폐뮤,서울특별시 성북구 동소문로 64,127.0127268,37.59126941
해인유통,서울특별시 성북구 북악산로 828,127.0157745,37.60018886
영우국민대매점주,서울특별시 성북구 정릉로 77,126.9985277,37.61029001
머그,서울특별시 성북구 동소문로20가길 32,127.0181055,37.59289951
디코이커피로스터스,서울특별시 성북구 고려대로6길 48,127.0213072,37.58361875
